6
 num     #instances         #bytes  class name
 260:            18            720  com.intellij.util.io.ResizeableMappedFile
 261:            18            720  java.io.BufferedInputStream
 262:            30            720  java.lang.invoke.ConstantCallSite
 263:            30            720  java.lang.invoke.InfoFromMemberName
 264:            30            720  java.lang.invoke.InnerClassLambdaMetafactory$ForwardingMethodGenerator
 265:             8            704  com.intellij.util.io.PersistentHashMapValueStorage
 266:            22            704  java.lang.ThreadLocal$ThreadLocalMap$Entry
 267:            43            688  java.util.concurrent.locks.ReentrantLock
 268:            17            680  com.intellij.util.containers.hash.LinkedHashMap$Entry
 269:            17            680  java.security.AccessControlContext
 270:            28            672  java.security.Provider$UString
 271:            21            672  java.util.Locale
 272:             7            672  sun.net.www.protocol.jar.URLJarFile$URLJarFileEntry
 273:            21            672  sun.util.locale.BaseLocale
 274:            27            648  sun.net.www.MessageHeader
 275:            16            640  java.util.HashMap$ValueIterator
 276:            20            640  sun.nio.ch.ChannelInputStream
 277:             3            624  [Ljava.lang.invoke.LambdaForm;
 278:             7            616  sun.net.www.protocol.jar.JarURLConnection
 279:            38            608  org.jetbrains.jps.model.ex.JpsElementChildRoleBase
 280:            19            608  sun.nio.fs.WindowsNativeDispatcher$FirstFile
 281:            25            600  java.lang.Class$AnnotationData
 282:            25            592  [Ljava.lang.reflect.TypeVariable;
 283:            36            576  com.intellij.serialization.FieldAccessor
 284:             8            576  com.intellij.util.io.PersistentHashMapValueStorage$MyCompressedAppendableFile
 285:            36            576  com.sun.org.apache.xerces.internal.utils.SecuritySupport$4
 286:            36            576  java.util.concurrent.atomic.AtomicInteger
 287:            18            576  java.util.regex.Pattern$Curly
 288:            12            576  jdk.internal.org.objectweb.asm.Frame
 289:            35            560  java.nio.channels.spi.AbstractInterruptibleChannel$1
 290:            10            560  sun.invoke.util.Wrapper
 291:            23            552  sun.reflect.generics.reflectiveObjects.ParameterizedTypeImpl
 292:             1            528  [Ljava.lang.Character;
 293:            33            528  java.util.HashMap$KeySet
 294:            11            528  java.util.TreeMap
 295:             6            528  java.util.jar.JarVerifier
 296:            11            528  org.jetbrains.jps.incremental.storage.BuildTargetTypeState
 297:            14            520  [Ljava.lang.invoke.LambdaForm$BasicType;
 298:             8            512  com.intellij.util.containers.ObjectLinkedOpenHashSet
 299:            16            512  com.intellij.util.lang.JavaVersion
 300:             4            512  com.sun.org.apache.xerces.internal.impl.XMLEntityManager
 301:            16            512  io.netty.handler.codec.CodecOutputList
 302:            16            512  java.util.Vector
 303:            21            504  java.lang.invoke.InnerClassLambdaMetafactory$1
 304:            21            504  java.util.Locale$LocaleKey
 305:            21            504  sun.reflect.NativeMethodAccessorImpl
 306:            10            480  com.intellij.util.xmlb.MapBinding
 307:            15            480  java.nio.DirectByteBuffer$Deallocator
 308:            15            480  org.jdom.ContentList$FilterListIterator
 309:            16            464  [Ljava.io.ObjectStreamField;
 310:             6            456  [Lsun.invoke.util.Wrapper;
 311:            19            456  java.util.regex.Pattern$Single
 312:            19            456  org.jdom.filter.ElementFilter
 313:            14            448  java.lang.reflect.WeakCache$CacheValue
 314:             8            448  sun.nio.cs.ext.DoubleByte$Decoder
 315:            11            440  com.intellij.util.io.ReadWriteDirectBufferWrapper
 316:            11            440  java.io.PrintWriter
 317:            11            440  java.util.IdentityHashMap
 318:            18            432  java.io.InputStreamReader
 319:            18            432  org.jetbrains.jps.model.ex.JpsElementCollectionRole
 320:            18            432  sun.misc.MetaIndex
 321:            18            432  sun.nio.fs.WindowsFileAttributeViews$Basic
 322:             6            416  [Lio.netty.buffer.PoolThreadCache$MemoryRegionCache;
 323:            26            416  java.io.FileInputStream$1
 324:            13            416  sun.reflect.generics.repository.ClassRepository
 325:            17            408  java.util.regex.Pattern$GroupHead
 326:            17            408  java.util.regex.Pattern$GroupTail
 327:            17            408  sun.reflect.generics.repository.FieldRepository
